Job Title,Company Name,Required Skills,Experience,Salary,Location,More Info
Backend Software Developer,10times,"rest api development, database design, nodejs/nextjs expertise, microservices architecture, algorithm implementation, algorithms, css, security, git, postgresql, debugging, data structures, mysql, html, mongodb, mobile, messaging",2 to 3 Years,As per Industry Standards,Bengaluru/ Bangalore (Karnataka),https://www.timesjobs.com/job-detail/backend-software-developer-10times-bengaluru-bangalore-2-to-3-yrs-jobid-FAVveCZ3JqdzpSvf__PLUS__uAgZw==&source=srp
Sr Software Developer,SEVEN CONSULTANCY,"data grabbing, scrapping solutions9, customer support queries",3 to 6 Years,As per Industry Standards,"Delhi (Delhi), Delhi/ NCR (Delhi)",https://www.timesjobs.com/job-detail/sr-software-developer-seven-consultancy-delhi-delhi-ncr-3-to-6-yrs-jobid-GOo2OO4__SLASH__KXZzpSvf__PLUS__uAgZw==&source=srp
Sr Associate Software Developer,SAS,"rest api development, java programming, spring boot framework, cloud deployments, database concepts, rdbms, sas, data warehousing, jdbc, hibernate, docker, gradle, spring framework, security",2 to 5 Years,As per Industry Standards,Pune (Maharashtra),https://www.timesjobs.com/job-detail/sr-associate-software-developer-sas-pune-2-to-5-yrs-jobid-YgEdjcO4UQBzpSvf__PLUS__uAgZw==&source=srp
Identity Management Software Developer,RTX,"java development, identity management, sql knowledge, scripting languages, troubleshooting skills, security, git, iam, devops, debugging, python, access management, team player, windows, java developer, production support, servicenow, written communication, infrastructure",3 to 5 Years,As per Industry Standards,Bengaluru/ Bangalore (Karnataka),https://www.timesjobs.com/job-detail/identity-management-software-developer-rtx-bengaluru-bangalore-3-to-5-yrs-jobid-ilgJjV5KH5BzpSvf__PLUS__uAgZw==&source=srp
Lead Software Developer,RTX,"sql query tuning, mysql installation, asp, net mvc, database schema design, application development support, bi, dbms, jquery, artificial intelligence, asp.net, big data",5 to 8 Years,As per Industry Standards,Hyderabad/ Secunderabad (Telangana),https://www.timesjobs.com/job-detail/lead-software-developer-rtx-hyderabad-secunderabad-5-to-8-yrs-jobid-IQcrtu2fZ39zpSvf__PLUS__uAgZw==&source=srp
Software Developer (C  ),EMERSON,"modern c development, cloud native software, agile scrum methodologies, database transactions, microsoft azure devops, security, digitization, c#, rest, software testing, problem solving, linq, .net",5 to 8 Years,As per Industry Standards,Pune (Maharashtra),https://www.timesjobs.com/job-detail/software-developer-c-emerson-pune-5-to-8-yrs-jobid-hpnUQbvpjPlzpSvf__PLUS__uAgZw==&source=srp
C   Software Developer,Broadridge,"software engineering c programming agile development automated testing problem solving, algorithms, oop, project life cycle, unix/linux",3 to 5 Years,As per Industry Standards,Bengaluru/ Bangalore (Karnataka),https://www.timesjobs.com/job-detail/c-software-developer-broadridge-bengaluru-bangalore-3-to-5-yrs-jobid-TIc16UTC0lZzpSvf__PLUS__uAgZw==&source=srp
Fullstack Software Developer,Qualys,"software development, api design, microservices architecture, java programming, javascript proficiency, algorithms, rdbms, oracle, docker, software engineer, data structures, middleware",1 to 4 Years,As per Industry Standards,Pune (Maharashtra),https://www.timesjobs.com/job-detail/fullstack-software-developer-qualys-pune-1-to-4-yrs-jobid-rrmpSytpA75zpSvf__PLUS__uAgZw==&source=srp
Lead Software Developer,Qualys,"java back end development, spring boot framework, microservices architecture, api design and development, ci/cd tools knowledge, algorithms, docker, security, software engineer, data structures, middleware, rdbms, oracle, messaging, java programming",8 to 11 Years,As per Industry Standards,Pune (Maharashtra),https://www.timesjobs.com/job-detail/lead-software-developer-qualys-pune-8-to-11-yrs-jobid-ftrkKbRuEg1zpSvf__PLUS__uAgZw==&source=srp
Jobs for Software Developer,SEVEN CONSULTANCY,"it recruitment, recruitment, learning, placement",3 to 6 Years,As per Industry Standards,Mumbai (Maharashtra),https://www.timesjobs.com/job-detail/jobs-for-software-developer-seven-consultancy-mumbai-3-to-6-yrs-jobid-znVcDYkaiZlzpSvf__PLUS__uAgZw==&source=srp
